country,region,year,hours_worked,hours_worked_men,hours_worked_women,hours_worker,hours_worker_men,hours_worker_women
Cambodia,East and Southeast Asia,2019,35.3029479980469,39.016284942627,32.001106262207,46.6605415344238,47.2705993652344,45.9934844970703
Kiribati,East and Southeast Asia,2020,11.049298286438,13.1839532852173,9.07325267791748,27.2802715301514,27.6124572753906,26.8590488433838
Kiribati,East and Southeast Asia,2023,15.5022869110107,19.3158416748047,12.0561103820801,29.213565826416,31.2477779388428,26.7739810943604
Comoros,Sub-Saharan Africa,2004,11.3978271484375,15.8520727157593,7.17200756072998,37.4861221313477,38.8608093261719,34.8975067138672
Comoros,Sub-Saharan Africa,2014,18.3370037078857,24.7815914154053,12.4648132324219,44.8925247192383,46.5783805847168,42.1301765441895
Comoros,Sub-Saharan Africa,2021,20.1684665679932,24.2761287689209,16.0672149658203,38.2194976806641,39.7667350769043,35.8180618286133
Korea,East and Southeast Asia,2000,29.6325435638428,36.9648818969727,22.7485027313232,50.1680908203125,52.0019378662109,47.6068534851074
Korea,East and Southeast Asia,2001,29.81711769104,37.1222686767578,22.9497451782227,50.0373153686524,52.0103187561035,47.3083724975586
Korea,East and Southeast Asia,2002,29.9560070037842,37.3176803588867,23.0224418640137,49.4771690368652,51.3862724304199,46.8215179443359
Korea,East and Southeast Asia,2003,29.2109889984131,36.7023162841797,22.1393585205078,48.8370552062988,50.7528915405274,46.113037109375
Korea,East and Southeast Asia,2004,29.2786369323731,36.5304489135742,22.4191226959229,48.3566474914551,50.3374633789063,45.5914878845215
Korea,East and Southeast Asia,2005,28.8297157287598,35.778751373291,22.2500801086426,47.750244140625,49.5997772216797,45.1848907470703
Korea,East and Southeast Asia,2006,28.7899551391602,35.581169128418,22.3349876403809,47.5974617004395,49.5024223327637,44.976692199707
Korea,East and Southeast Asia,2007,28.3652153015137,35.0755996704102,21.9643268585205,46.835693359375,48.7662048339844,44.1720199584961
Korea,East and Southeast Asia,2008,27.5347766876221,34.0604667663574,21.2950668334961,45.7881927490234,47.7512893676758,43.0796318054199
Korea,East and Southeast Asia,2009,27.0286026000977,33.6391067504883,20.7022666931152,45.6388282775879,47.7575912475586,42.6934242248535
Korea,East and Southeast Asia,2010,26.631778717041,33.3023529052734,20.2389297485352,44.8934745788574,47.2444229125977,41.6269493103027
Korea,East and Southeast Asia,2011,26.0452213287354,32.6346282958984,19.7210311889648,43.6341285705566,46.0070495605469,40.330436706543
Korea,East and Southeast Asia,2012,26.6337947845459,33.3545303344727,20.1823101043701,44.4057273864746,46.816577911377,41.0519676208496
Korea,East and Southeast Asia,2013,25.8165969848633,32.2549285888672,19.6310901641846,42.8879737854004,45.2344131469727,39.6419715881348
Korea,East and Southeast Asia,2014,26.5884132385254,33.1763153076172,20.2474040985107,43.608699798584,46.1145362854004,40.1664085388184
Korea,East and Southeast Asia,2015,26.4864749908447,32.8986396789551,20.3061485290527,43.4671325683594,45.9229621887207,40.1170539855957
Korea,East and Southeast Asia,2016,26.0784664154053,32.3681755065918,20.0165538787842,42.8299903869629,45.355598449707,39.4098205566406
Korea,East and Southeast Asia,2017,26.0782699584961,32.2132720947266,20.1584510803223,42.6394424438477,45.134895324707,39.2898750305176
Korea,East and Southeast Asia,2018,25.2320156097412,31.1158962249756,19.5535430908203,41.4042625427246,43.8718643188477,38.1121368408203
Korea,East and Southeast Asia,2019,24.833911895752,30.5449333190918,19.307544708252,40.585563659668,43.1636009216309,37.1855316162109
Korea,East and Southeast Asia,2020,23.4490528106689,29.0031471252441,18.0693092346191,38.8601684570313,41.4782485961914,35.3874931335449
Korea,East and Southeast Asia,2021,23.5502777099609,28.9559936523438,18.3060150146484,38.7453880310059,41.2761077880859,35.4135055541992
Korea,East and Southeast Asia,2022,23.7835369110107,29.0546588897705,18.6764068603516,38.1321716308594,40.5454788208008,34.9927825927734
Korea,East and Southeast Asia,2023,24.3516998291016,29.4424781799316,19.4118480682373,38.7313003540039,41.2047271728516,35.5872917175293
Kosovo,Eastern Europe and ex-USSR,2003,8.25173950195313,13.6775979995728,2.5770423412323,38.7995681762695,39.3446197509766,36.0290107727051
Kosovo,Eastern Europe and ex-USSR,2004,8.80362796783447,14.6204900741577,3.01748704910278,37.3596153259277,37.8341789245606,35.2253036499023
Kosovo,Eastern Europe and ex-USSR,2005,9.12785339355469,14.7384881973267,3.39490175247192,38.6438789367676,39.5200805664063,35.1835403442383
Kosovo,Eastern Europe and ex-USSR,2008,9.24932193756104,14.7585277557373,3.7851505279541,42.125732421875,42.7443771362305,39.8929061889648
Kosovo,Eastern Europe and ex-USSR,2012,9.26156330108643,14.9428024291992,3.50707149505615,40.0197372436524,41.0012512207031,36.2663192749023
Kosovo,Eastern Europe and ex-USSR,2013,10.4075336456299,16.7176342010498,4.21672248840332,40.5481681823731,41.789852142334,36.3474311828613
Kosovo,Eastern Europe and ex-USSR,2014,10.1210536956787,16.0632095336914,4.23906230926514,42.0753326416016,43.2728691101074,38.1184730529785
Kosovo,Eastern Europe and ex-USSR,2015,9.63509368896484,15.352424621582,3.87143278121948,42.8451766967773,44.230152130127,38.0788269042969
Kosovo,Eastern Europe and ex-USSR,2016,10.5851917266846,16.9494285583496,4.17358732223511,42.7807960510254,44.2929077148438,37.5377578735352
Kosovo,Eastern Europe and ex-USSR,2017,11.5143642425537,18.8790225982666,4.17632675170898,44.3979988098145,46.0566329956055,38.2014350891113
Kosovo,Eastern Europe and ex-USSR,2018,11.3886365890503,18.2599658966064,4.56865549087524,43.4874267578125,44.4598350524902,39.8857307434082
Kosovo,Eastern Europe and ex-USSR,2019,11.2664747238159,17.9367809295654,4.6554102897644,42.1217765808106,43.2766532897949,38.2198944091797
Kosovo,Eastern Europe and ex-USSR,2020,9.4322452545166,14.5961513519287,4.34849834442139,37.5947952270508,38.3480911254883,35.3134384155273
Kosovo,Eastern Europe and ex-USSR,2021,11.4435634613037,17.2329425811768,5.71542167663574,41.577938079834,42.3026580810547,39.5650901794434
Kosovo,Eastern Europe and ex-USSR,2022,12.5698938369751,18.8115673065186,6.45938920974731,42.0132141113281,42.8998184204102,39.6559104919434
Kosovo,Eastern Europe and ex-USSR,2023,13.078706741333,19.562686920166,6.81963777542114,41.020191192627,41.7672424316406,39.0636253356934
Kazakhstan,Eastern Europe and ex-USSR,1996,17.855188369751,23.1204929351807,13.4756145477295,42.3268127441406,45.4221801757813,38.472957611084
Kazakhstan,Eastern Europe and ex-USSR,2016,22.604133605957,26.2584972381592,19.2525653839111,41.5165519714355,42.0518798828125,40.8658065795898
Lao PDR,East and Southeast Asia,2022,29.8444938659668,32.1299285888672,27.6456890106201,45.7715568542481,46.1007270812988,45.3813285827637
Lebanon,Middle East and North Africa,2004,19.4794692993164,32.0762557983398,7.58767509460449,48.908878326416,50.6290550231934,43.069034576416
Lebanon,Middle East and North Africa,2011,20.2557678222656,33.4318008422852,8.31701183319092,47.951042175293,50.4868545532227,40.5355262756348
Lebanon,Middle East and North Africa,2019,20.4781455993652,31.8014373779297,9.8392391204834,47.2191772460938,50.0275039672852,39.1226959228516
Sri Lanka,South Asia,1992,19.6010227203369,29.3255939483643,10.1862716674805,42.9239501953125,44.7986602783203,38.4403533935547
Sri Lanka,South Asia,1993,20.4923648834229,29.9946308135986,11.3824195861816,43.3798522949219,44.8901672363281,39.9814643859863
Sri Lanka,South Asia,1994,20.7373447418213,30.8749675750732,11.0679035186768,43.7108917236328,45.5503730773926,39.4695816040039
Sri Lanka,South Asia,1995,20.3986930847168,30.0667343139648,11.2206716537476,43.4112281799316,45.051643371582,39.7311859130859
Sri Lanka,South Asia,1998,22.3364219665527,32.3766059875488,12.9008779525757,43.1574020385742,45.7031707763672,38.1428909301758
Sri Lanka,South Asia,1999,22.05712890625,32.1485023498535,12.5145139694214,43.5723609924316,45.6551322937012,39.2217178344727
Sri Lanka,South Asia,2000,21.8509712219238,31.8067646026611,12.4713954925537,43.2548980712891,45.308032989502,39.0055694580078
Sri Lanka,South Asia,2001,22.5384693145752,33.0818672180176,12.5985918045044,45.5117111206055,47.4632339477539,41.3031539916992
Sri Lanka,South Asia,2002,22.3907508850098,33.070426940918,12.5446424484253,44.7282371520996,46.9041595458984,40.1960945129395
Sri Lanka,South Asia,2003,21.2939414978027,32.1842422485352,11.3207235336304,43.8451652526855,45.9166450500488,39.2365875244141
Sri Lanka,South Asia,2004,22.0364551544189,33.2253761291504,11.8118333816528,45.1743888854981,47.4321479797363,40.2496948242188
Sri Lanka,South Asia,2006,23.5316772460938,34.5540313720703,13.8090705871582,45.5252685546875,48.1388511657715,40.6527824401856
Sri Lanka,South Asia,2007,23.116849899292,34.527156829834,13.1010828018188,45.7465934753418,48.2299728393555,40.8753623962402
Sri Lanka,South Asia,2008,22.7259044647217,34.4507560729981,12.6552934646606,45.199405670166,47.9379653930664,39.8733367919922
Sri Lanka,South Asia,2010,21.867919921875,33.1547966003418,11.9902095794678,43.093677520752,45.7839698791504,37.7287864685059
Sri Lanka,South Asia,2011,21.5018997192383,32.4048194885254,11.861328125,42.4184188842774,44.9961433410645,37.2618370056152
Sri Lanka,South Asia,2013,21.9792594909668,32.9814109802246,12.4915475845337,44.0691909790039,46.7479591369629,38.9809989929199
Sri Lanka,South Asia,2014,21.957010269165,32.9746398925781,12.4107971191406,44.3989067077637,46.9574508666992,39.4505081176758
Sri Lanka,South Asia,2015,22.0506019592285,33.3583526611328,12.3996648788452,43.031177520752,46.0475006103516,37.4052658081055
Sri Lanka,South Asia,2016,22.858283996582,34.6527252197266,12.9196872711182,44.4318504333496,47.5368537902832,38.7162971496582
Sri Lanka,South Asia,2017,22.9995880126953,34.3502578735352,13.3209276199341,44.3946685791016,47.4476585388184,38.8923225402832
Sri Lanka,South Asia,2018,21.3791656494141,32.5651969909668,11.7598037719727,43.2008476257324,46.0083656311035,37.7196273803711
Sri Lanka,South Asia,2019,21.1843070983887,32.0157241821289,11.8322286605835,42.5307998657227,45.3805122375488,37.0895004272461
Sri Lanka,South Asia,2020,17.9898414611816,27.5655345916748,9.65741539001465,37.646656036377,39.9590530395508,32.9156188964844
Sri Lanka,South Asia,2021,18.6049041748047,28.2920875549316,10.2863464355469,39.2888107299805,41.3629379272461,35.1283988952637
Sri Lanka,South Asia,2022,19.375768661499,28.9302921295166,11.1982173919678,40.8121490478516,42.6077842712402,37.3332443237305
Liberia,Sub-Saharan Africa,2010,26.6913890838623,28.7667846679688,24.8321933746338,47.451530456543,48.4419288635254,46.4656524658203
Lesotho,Sub-Saharan Africa,2019,24.7718715667725,30.0691051483154,19.9682846069336,51.688663482666,52.7666893005371,50.4519386291504
Lithuania,Eastern Europe and ex-USSR,1998,21.0769290924072,24.9721622467041,17.782808303833,40.0124397277832,42.1373977661133,37.7515525817871
Lithuania,Eastern Europe and ex-USSR,1999,20.9244728088379,24.3485450744629,18.0344791412354,39.4702873229981,41.7044410705566,37.1994247436523
Lithuania,Eastern Europe and ex-USSR,2000,19.3200798034668,21.9308910369873,17.1203765869141,38.1388244628906,40.3034286499023,36.0492210388184
Lithuania,Eastern Europe and ex-USSR,2001,18.6813354492188,21.3906593322754,16.4116802215576,38.0419616699219,40.5154457092285,35.6645965576172
Lithuania,Eastern Europe and ex-USSR,2002,19.5285758972168,22.8738765716553,16.7252674102783,38.4018287658691,40.2862243652344,36.4479789733887
Lithuania,Eastern Europe and ex-USSR,2003,19.6922206878662,23.021068572998,16.9113216400147,37.5423583984375,39.6500091552734,35.4022941589356
Lithuania,Eastern Europe and ex-USSR,2004,19.0379619598389,22.5386371612549,16.1066856384277,37.2975654602051,39.313102722168,35.183952331543
Lithuania,Eastern Europe and ex-USSR,2005,19.0270290374756,22.5778427124023,16.0554847717285,36.8753242492676,39.0803031921387,34.5792999267578
Lithuania,Eastern Europe and ex-USSR,2006,19.1397361755371,22.3352813720703,16.4720096588135,36.7657928466797,38.7339859008789,34.7660598754883
Lithuania,Eastern Europe and ex-USSR,2007,19.849157333374,23.2302379608154,17.0344467163086,37.3213844299316,39.1211967468262,35.4688491821289
Lithuania,Eastern Europe and ex-USSR,2008,19.7871398925781,23.0470962524414,17.0782127380371,37.6441917419434,39.4306221008301,35.8241233825684
Lithuania,Eastern Europe and ex-USSR,2009,17.726053237915,19.679515838623,16.1031532287598,36.3581199645996,38.2924766540527,34.5843658447266
Lithuania,Eastern Europe and ex-USSR,2010,17.1692695617676,18.9959087371826,15.6594533920288,36.769100189209,38.8777694702148,34.8726234436035
Lithuania,Eastern Europe and ex-USSR,2011,17.6365928649902,20.0420150756836,15.6554079055786,36.3208389282227,38.7028312683105,34.1074485778809
Lithuania,Eastern Europe and ex-USSR,2012,18.1301593780518,20.6288623809814,16.0732765197754,36.2500457763672,38.4692039489746,34.1676826477051
Lithuania,Eastern Europe and ex-USSR,2013,18.4668941497803,21.3408546447754,16.100133895874,36.0875511169434,38.2771492004395,33.9665946960449
Lithuania,Eastern Europe and ex-USSR,2014,18.9433441162109,21.8296070098877,16.5632610321045,35.997745513916,38.2131004333496,33.8640823364258
Lithuania,Eastern Europe and ex-USSR,2015,19.5202407836914,22.381591796875,17.163969039917,36.3086853027344,38.3697700500488,34.3285713195801
Lithuania,Eastern Europe and ex-USSR,2016,20.380615234375,23.1610431671143,18.0958976745605,36.6643562316895,38.5916175842285,34.8347473144531
Lithuania,Eastern Europe and ex-USSR,2017,20.2472553253174,23.033899307251,17.9527454376221,35.953483581543,37.9158668518066,34.0895538330078
Lithuania,Eastern Europe and ex-USSR,2018,20.8602733612061,23.9137325286865,18.3284816741943,36.1125259399414,37.9906997680664,34.2791786193848
Lithuania,Eastern Europe and ex-USSR,2019,21.0487823486328,23.9679584503174,18.6035308837891,36.1641464233398,37.9988975524902,34.3730316162109
Lithuania,Eastern Europe and ex-USSR,2020,19.8248825073242,22.8795909881592,17.2287769317627,34.5983467102051,36.6438217163086,32.5478324890137
Lithuania,Eastern Europe and ex-USSR,2021,20.374626159668,23.3505516052246,17.8166332244873,35.2137794494629,37.142879486084,33.2673187255859
Lithuania,Eastern Europe and ex-USSR,2022,20.8384418487549,23.3680229187012,18.7152137756348,35.234733581543,36.8848571777344,33.6567039489746
Luxembourg,Western Europe and Anglosphere,1983,19.0909481048584,27.6965217590332,11.0458068847656,38.851245880127,40.5472412109375,35.3820610046387
Luxembourg,Western Europe and Anglosphere,1984,19.1532249450684,27.5530891418457,11.3191947937012,38.7261734008789,40.2109680175781,35.7309188842773
Luxembourg,Western Europe and Anglosphere,1985,19.5016574859619,27.4169960021973,11.9741315841675,38.854175567627,40.353401184082,35.9461517333984
Luxembourg,Western Europe and Anglosphere,1986,19.473669052124,27.6966857910156,11.8103065490723,38.7643241882324,40.433464050293,35.5563926696777
Luxembourg,Western Europe and Anglosphere,1987,19.6610202789307,27.8051815032959,12.0828380584717,38.5600166320801,40.3030548095703,35.2917442321777
Luxembourg,Western Europe and Anglosphere,1988,19.5579128265381,27.6690998077393,11.9998111724854,39.0963859558106,40.7186393737793,36.0136108398438
Luxembourg,Western Europe and Anglosphere,1989,19.3829517364502,27.340970993042,11.9338254928589,38.578498840332,40.2593154907227,35.4082489013672
Luxembourg,Western Europe and Anglosphere,1990,19.0050354003906,26.9598236083984,11.603175163269,38.581672668457,40.2754745483399,35.3660774230957
Luxembourg,Western Europe and Anglosphere,1991,19.6842803955078,27.7568664550781,12.0787258148193,38.5445518493652,40.807975769043,34.412166595459
