year,edition,idno,cntry,gndr,yrbrn,agea,eisced,edlvdfr,ppltrst,trstplt,pplfair,pplhlp,ecohenv,scnsenv,stflife,stfdem,trstprl,education
2002,6.7,10133,FR,2,1984,19,0,,0,10,10,3,4,5,10,10,10,
2002,6.7,10134,FR,2,1973,30,0,,2,3,2,2,4,4,9,6,3,
2002,6.7,10135,FR,1,1938,65,0,,5,0,8,1,4,3,5,7,0,
2002,6.7,10136,FR,2,1975,28,0,,5,6,5,5,3,3,7,7,7,
2002,6.7,10137,FR,1,1944,59,0,,4,6,8,5,4,2,9,9,8,
2002,6.7,10138,FR,2,1944,59,0,,0,0,10,0,1,5,0,0,0,
2002,6.7,10139,FR,1,1977,26,0,,2,6,5,4,1,2,6,1,5,
2002,6.7,10140,FR,1,1947,56,0,,5,3,5,3,2,2,5,6,6,
2002,6.7,10141,FR,1,1966,37,0,,5,0,10,5,2,2,10,2,0,
2002,6.7,10142,FR,1,1947,56,0,,0,5,4,5,1,1,6,6,5,
2002,6.7,10143,FR,1,1963,40,0,,5,2,8,8,1,2,2,2,3,
2002,6.7,10144,FR,1,1953,50,0,,7,7,6,5,4,2,7,7,5,
2002,6.7,10145,FR,1,1965,38,0,,3,1,3,3,5,2,4,1,2,
2002,6.7,10146,FR,1,1962,41,0,,5,1,5,5,1,2,7,6,5,
2002,6.7,10147,FR,2,1950,53,0,,4,4,6,6,1,2,7,4,4,
2002,6.7,10148,FR,2,1936,67,0,,5,5,10,10,2,2,8,5,5,
2002,6.7,10149,FR,1,1938,65,0,,4,3,5,0,1,5,4,5,4,
2002,6.7,10150,FR,2,1976,27,0,,5,2,5,1,3,3,7,5,3,
2002,6.7,10151,FR,2,1929,74,0,,5,3,4,7,4,3,7,4,5,
2002,6.7,10152,FR,2,1933,70,0,,5,6,3,5,5,2,6,4,8,
2002,6.7,10153,FR,2,1970,33,0,,0,4,6,5,2,3,6,5,6,
2002,6.7,10154,FR,2,1943,60,0,,7,7,7,7,3,2,7,5,8,
2002,6.7,10155,FR,2,1966,37,0,,5,4,6,6,3,2,7,7,4,
2002,6.7,10156,FR,1,1936,67,0,,6,4,10,5,2,3,5,7,4,
2002,6.7,10157,FR,1,1951,52,0,,5,5,5,5,1,3,8,8,5,
2002,6.7,10158,FR,1,1983,20,0,,2,4,8,8,2,3,10,4,4,
2002,6.7,10159,FR,2,1946,57,0,,3,7,8,8,1,1,9,7,9,
2002,6.7,10160,FR,1,1954,49,0,,3,5,3,1,2,2,6,5,5,
2002,6.7,10161,FR,1,1943,60,0,,4,1,4,6,1,3,7,1,2,
2002,6.7,10162,FR,1,1981,22,0,,9,6,8,7,3,4,7,7,7,
2002,6.7,10163,FR,1,1924,79,0,,7,4,2,5,4,2,5,2,4,
2002,6.7,10164,FR,1,1949,54,0,,3,5,3,2,1,2,6,8,5,
2002,6.7,10165,FR,2,1948,55,0,,2,2,2,2,1,2,4,0,2,
2002,6.7,10166,FR,1,1986,17,0,,4,2,6,6,2,2,10,1,3,
2002,6.7,10167,FR,1,1934,69,0,,5,3,6,6,2,2,7,5,7,
2002,6.7,10168,FR,1,1981,22,0,,7,5,7,2,2,3,5,4,2,
2002,6.7,10169,FR,1,1951,52,0,,5,3,5,1,3,2,1,5,7,
2002,6.7,10170,FR,1,1979,24,0,,3,2,5,4,3,2,3,1,3,
2002,6.7,10171,FR,1,1962,41,0,,2,5,3,2,2,2,2,4,6,
2002,6.7,10172,FR,2,1962,41,0,,5,2,5,5,5,1,3,4,6,
2002,6.7,10173,FR,1,1969,34,0,,5,9,6,5,4,5,8,4,9,
2002,6.7,10174,FR,2,1959,44,0,,4,3,3,7,2,2,5,4,3,
2002,6.7,10175,FR,2,1942,61,0,,5,6,5,4,2,3,8,5,7,
2002,6.7,10176,FR,1,1968,35,0,,0,3,0,0,1,4,0,2,0,
2002,6.7,10177,FR,1,1971,32,0,,5,3,5,8,4,1,4,4,2,
2002,6.7,10178,FR,1,1969,34,0,,4,4,6,4,5,2,5,7,4,
2002,6.7,10179,FR,2,1937,66,0,,3,7,88,0,2,3,7,5,7,
2002,6.7,10180,FR,2,1944,59,0,,0,5,0,1,1,1,8,6,7,
2002,6.7,10181,FR,2,1944,59,0,,0,0,3,5,4,3,4,7,3,
2002,6.7,10182,FR,2,1960,43,0,,5,8,5,3,4,1,8,8,8,
2002,6.7,10183,FR,1,1933,70,0,,7,5,8,9,2,2,8,4,6,
2002,6.7,10184,FR,2,1982,21,0,,0,5,6,2,3,1,7,6,4,
2002,6.7,10185,FR,1,1935,68,0,,5,8,5,5,1,3,7,8,2,
2002,6.7,10186,FR,1,1983,20,0,,6,4,6,7,3,4,7,6,4,
2002,6.7,10187,FR,2,1962,41,0,,9,4,9,9,3,4,9,3,5,
2002,6.7,10188,FR,1,1952,51,0,,2,0,5,3,4,4,5,8,3,
2002,6.7,10189,FR,2,1956,47,0,,7,4,7,7,3,5,5,4,4,
2002,6.7,10190,FR,2,1960,43,0,,4,3,8,7,2,2,8,2,2,
2002,6.7,10191,FR,1,1948,55,0,,2,2,3,5,2,2,6,4,2,
2002,6.7,10192,FR,2,1976,27,0,,4,4,4,7,2,2,3,9,5,
2002,6.7,10193,FR,2,1963,40,0,,6,4,5,3,1,3,4,4,5,
2002,6.7,10194,FR,1,1979,24,0,,7,5,6,6,4,3,5,4,6,
2002,6.7,10195,FR,1,1936,67,0,,5,4,7,4,2,3,0,0,0,
2002,6.7,10196,FR,2,1975,28,0,,5,6,2,8,3,2,4,4,8,
2002,6.7,10197,FR,2,1957,46,0,,7,5,4,5,3,3,3,4,3,
2002,6.7,10198,FR,1,1964,39,0,,5,2,5,3,4,2,5,5,3,
2002,6.7,10199,FR,1,1978,25,0,,2,3,10,10,5,3,8,7,5,
2002,6.7,10200,FR,1,1985,18,0,,5,4,9,8,4,5,10,9,8,
2002,6.7,10201,FR,1,1961,42,0,,7,4,4,5,2,4,8,7,5,
2002,6.7,10202,FR,1,1946,57,0,,6,8,7,4,4,2,9,5,7,
2002,6.7,10203,FR,2,1982,21,0,,5,6,6,6,2,3,7,7,5,
2002,6.7,10204,FR,1,1961,42,0,,2,7,3,3,2,5,5,5,4,
2002,6.7,10205,FR,1,1982,21,0,,8,4,7,6,4,3,9,7,88,
2002,6.7,10206,FR,2,1943,60,0,,5,5,7,5,3,3,8,7,4,
2002,6.7,10207,FR,2,1946,57,0,,3,8,6,3,2,3,3,5,8,
2002,6.7,10208,FR,2,1941,62,0,,5,7,7,3,3,3,8,8,6,
2002,6.7,10209,FR,2,1936,67,0,,3,5,3,2,2,2,7,5,6,
2002,6.7,10210,FR,2,1940,63,0,,0,0,10,5,4,1,5,3,0,
2002,6.7,10211,FR,1,1974,29,0,,2,5,8,2,3,1,10,10,3,
2002,6.7,10212,FR,2,1955,48,0,,8,8,9,8,8,8,8,8,7,
2002,6.7,10213,FR,1,1950,53,0,,6,0,5,5,1,3,7,10,5,
2002,6.7,10214,FR,1,1950,53,0,,5,6,2,6,2,2,6,6,6,
2002,6.7,10215,FR,2,1973,30,0,,2,1,6,1,4,5,10,5,3,
2002,6.7,10216,FR,2,1970,33,0,,8,7,8,5,3,4,5,7,7,
2002,6.7,10217,FR,2,1960,43,0,,7,4,7,4,2,2,5,3,5,
