year,edition,idno,cntry,gndr,yrbrn,agea,eisced,edlvdfr,ppltrst,trstplt,pplfair,pplhlp,ecohenv,scnsenv,stflife,stfdem,trstprl,education
2023,4.1,71785,FR,2,1959,64,3,7,3,3,8,9,,,6,4,2,High school diploma or less
2023,4.1,71809,FR,2,1939,84,1,3,1,4,5,7,,,8,3,88,High school diploma or less
2023,4.1,71824,FR,1,1986,38,4,9,3,3,3,2,,,6,7,3,High school diploma or less
2023,4.1,71869,FR,1,1938,85,1,3,2,2,5,4,,,10,0,2,High school diploma or less
2023,4.1,71902,FR,2,1950,73,1,4,5,6,10,9,,,10,10,7,High school diploma or less
2023,4.1,71903,FR,1,1940,83,7,22,7,7,8,8,,,8,7,7,Masters degree or more
2023,4.1,71957,FR,1,1948,75,4,11,3,0,5,5,,,2,3,2,High school diploma or less
2023,4.1,71962,FR,2,1955,68,3,7,5,8,8,5,,,9,5,5,High school diploma or less
2023,4.1,71976,FR,1,1966,57,3,7,3,2,5,0,,,5,0,0,High school diploma or less
2023,4.1,72021,FR,2,1960,63,6,18,0,6,5,3,,,8,8,7,"Undergraduate degree (licence, licence pro)"
2023,4.1,72028,FR,2,1967,56,1,4,4,0,7,6,,,4,88,1,High school diploma or less
2023,4.1,72092,FR,1,1980,43,5,15,5,6,7,7,,,7,5,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,72141,FR,1,1988,35,3,7,0,0,5,5,,,10,0,0,High school diploma or less
2023,4.1,72155,FR,2,1995,28,6,18,5,5,8,6,,,10,5,3,"Undergraduate degree (licence, licence pro)"
2023,4.1,72181,FR,1,1981,42,3,7,0,4,2,3,,,8,6,5,High school diploma or less
2023,4.1,72213,FR,2,1977,46,7,21,7,3,7,4,,,6,3,3,Masters degree or more
2023,4.1,72238,FR,1,1958,65,5,14,6,4,8,7,,,8,6,7,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,72241,FR,2,1989,34,7,22,0,0,5,4,,,2,0,0,Masters degree or more
2023,4.1,72245,FR,2,1960,63,4,10,5,7,4,4,,,7,5,5,High school diploma or less
2023,4.1,72271,FR,2,1973,50,7,21,2,2,8,3,,,2,2,8,Masters degree or more
2023,4.1,72290,FR,1,1973,51,6,18,8,3,8,8,,,7,4,3,"Undergraduate degree (licence, licence pro)"
2023,4.1,72306,FR,1,1966,57,1,4,0,0,2,0,,,88,88,0,High school diploma or less
2023,4.1,72339,FR,1,1985,38,7,19,7,4,7,3,,,8,6,7,Masters degree or more
2023,4.1,72396,FR,2,1952,71,3,7,2,0,3,3,,,0,0,2,High school diploma or less
2023,4.1,72399,FR,1,2001,22,6,18,6,5,7,3,,,8,5,2,"Undergraduate degree (licence, licence pro)"
2023,4.1,72402,FR,1,1952,71,1,2,5,5,5,3,,,10,88,5,High school diploma or less
2023,4.1,72417,FR,1,1963,60,3,7,6,4,5,4,,,8,5,4,High school diploma or less
2023,4.1,72495,FR,2,1945,78,1,3,6,1,8,7,,,6,0,0,High school diploma or less
2023,4.1,72498,FR,1,1980,43,7,26,7,6,8,5,,,7,7,6,Masters degree or more
2023,4.1,72543,FR,1,1969,54,5,15,0,1,0,0,,,5,0,0,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,72544,FR,1,1985,38,4,11,5,1,7,3,,,7,5,2,High school diploma or less
2023,4.1,72545,FR,2,1968,55,7,25,7,4,7,5,,,8,7,7,Masters degree or more
2023,4.1,72554,FR,1,1936,87,1,3,5,5,6,8,,,2,0,0,High school diploma or less
2023,4.1,72589,FR,2,1982,41,5,15,5,7,8,9,,,8,6,8,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,72605,FR,1,1992,31,5,15,8,6,4,7,,,10,5,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,72627,FR,2,1951,72,88,8888,7,4,5,3,,,8,3,8,
2023,4.1,72663,FR,2,1943,80,1,3,5,5,5,6,,,5,3,6,High school diploma or less
2023,4.1,72701,FR,1,1973,50,4,9,2,1,5,2,,,7,2,4,High school diploma or less
2023,4.1,72747,FR,1,1965,58,4,11,8,0,7,5,,,10,0,0,High school diploma or less
2023,4.1,72823,FR,1,1959,64,7,20,4,5,8,6,,,10,7,3,Masters degree or more
2023,4.1,72827,FR,1,1965,58,3,7,4,5,7,7,,,7,6,6,High school diploma or less
2023,4.1,72849,FR,2,1965,58,5,16,3,5,5,5,,,9,9,7,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,72882,FR,2,2001,22,5,14,3,5,5,3,,,7,7,5,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,72912,FR,2,1993,30,6,18,7,4,7,6,,,7,4,5,"Undergraduate degree (licence, licence pro)"
2023,4.1,72915,FR,1,2006,18,2,5,5,5,7,5,,,6,3,8,High school diploma or less
